,dist,num,breed,color,sex,b-year,wei,loc,note,shel,tel,reg-date,due-date
18,경남,경남-진주-2021-00223,"[""스탠다드 슈나우저""]",흰갈색,수컷,2021,1.5,진주시진성면동산리,순함,진주시유기동물보호소,055-749-6134,2021-05-19,2021-05-31
19,경남,경남-진주-2021-00222,"[""베들링턴 테리어""]",검정색,암컷,2021,1.7,진주시진성면동산리,순함,진주시유기동물보호소,055-749-6134,2021-05-19,2021-05-31
20,경남,경남-진주-2021-00221,"[""진돗개""]",흰갈색,수컷,2021,2.4,진주시진성면동산리,순함,진주시유기동물보호소,055-749-6134,2021-05-19,2021-05-31
21,서울,서울-강남-2021-00034,"[""시베리안 허스키"",""알래스카 말라뮤트""]",흰검색,수컷,2020,14.0,역삼동일대,검은리드줄/하네스. 사람따름/활발. 샴푸냄새. 꼬리단미안됨. 털때탐.,한국동물구조관리협회,031-867-9119,2021-05-22,2021-06-01
22,경북,경북-구미-2021-00187,"[""미니어쳐 푸들""]",검정색,수컷,2019,7.0,도개리밭511부근,시크한블랙푸들따뜻한성격온순하고사람을잘따르며경계심이없음쉼없이꼬리펠라를가동시키는근성겸비,구미시동물보호센터,054-471-5718,2021-05-25,2021-06-04
23,경북,경북-구미-2021-00186,"[""풍산개"",""진돗개""]",흰색,수컷,2018,16.0,낙동강체육공원부근,귀가크고소두에잘생긴외모사람손을좋아하면서도경계함,구미시동물보호센터,054-471-5718,2021-05-24,2021-06-14
24,경북,경북-구미-2021-00185,"[""미니어쳐 푸들"",""토이 푸들"",""스탠다드 푸들""]",갈색,수컷,2019,5.0,도량1동원앙아파트부근,소두에길쭉길쭉한앞다리뒷다리크고동그란눈모델뺨치는신체스펙경계심이없고털관리되있음사람을잘따름,구미시동물보호센터,054-471-5718,2021-05-23,2021-06-04
25,경북,경북-구미-2021-00184,"[""카디건 웰시코기"",""치와와""]",갈색,수컷,2021,3.7,해평면낙동대로부근,작은소두에뚜력한이목구비전형적인미남견사람을좋아하고경계심이없음,구미시동물보호센터,054-471-5718,2021-05-23,2021-06-04
26,경북,경북-구미-2021-00183,"[""닥스훈트""]",검갈색,수컷,2018,3.7,송정동488-50부근,짧은다리긴코쉬지않고흔드는꼬리펠라너무사랑스럽고경계심이없고장난도좋아함,구미시동물보호센터,054-471-5718,2021-05-23,2021-06-02
27,경북,경북-구미-2021-00182,"[""보스턴테리어""]",검갈색,암컷,2018,16.0,선산대로390부근,"큰귀에카리스마있는외모그렇지못한순둥한성격사람좋아함,경계심없음견주사망(무연고자추정)으로구조됨",구미시동물보호센터,054-471-5718,2021-05-21,2021-06-02
28,경북,경북-구미-2021-00181,"[""닥스훈트""]",검정색,수컷,2020,6.0,공단3주공아파트부근,짧은다리긴코점잔은성격사람을잘따르고경계심이없으며쉼없이꼬리를흔들어날지도모름,구미시동물보호센터,054-471-5718,2021-05-21,2021-05-31
29,경북,경북-구미-2021-00180,"[""차우 차우""]",검정색,암컷,2021,1.0,해평1길40-22부근,어미와같이구조됐으며시크한눈매가매력블랙수트핏을자랑하듯아주귀여움(60일추정),구미시동물보호센터,054-471-5718,2021-05-20,2021-06-01
30,경북,경북-구미-2021-00179,"[""라사 압소""]",검정색,수컷,2021,1.0,해평1길40-22부근,어미와같이구조됐으며유일한수컷블랙수트핏을자랑하듯아주귀여움(60일추정),구미시동물보호센터,054-471-5718,2021-05-20,2021-06-01
31,경북,경북-구미-2021-00178,"[""퍼그""]",갈색,암컷,2021,1.0,해평1길40-22부근,어미와같이구조됐으며매력적인콧주름을소유했음(60일추정),구미시동물보호센터,054-471-5718,2021-05-20,2021-06-01
32,경북,경북-구미-2021-00177,"[""퍼그""]",갈색,암컷,2021,1.0,해평1길40-22부근,어미와같이구조됐으며오밀조밀아주귀여운외모(60추정),구미시동물보호센터,054-471-5718,2021-05-20,2021-06-01
33,경북,경북-구미-2021-00175,"[""콜리"",""카디건 웰시코기""]",흰검색,암컷,2021,1.2,도개면도개4길10-1부근,흰색구두에가슴에난흰털깔마춤장난을좋아하고사람을잘따르며경계심이없음,구미시동물보호센터,054-471-5718,2021-05-18,2021-05-31
34,경북,경북-구미-2021-00174,"[""그레이트 피레니즈""]",흰검색,암컷,2021,1.2,도개면도개4길10-1부근,순하게생긴외모에그렇지못한장난기한쪽눈의검은털이포인트사람을좋아하고경계심이없음,구미시동물보호센터,054-471-5718,2021-05-18,2021-05-31
35,경북,경북-구미-2021-00173,"[""라사 압소"",""재패니즈 스피츠"",""포메라니안""]",흰갈색,암컷,2021,1.5,도개면도개4길10-1부근,만사를다귀찬아하는표정이압권형제들중가장덩치가크고가장많이먹음사람을좋아하고경계심이1도없음,구미시동물보호센터,054-471-5718,2021-05-18,2021-05-31
36,경남,경남-창원1-2021-00256,"[""골든 리트리버""]",흰색,수컷,2021,2.3,의창구대산면모산길37부근,K-5-1-24-4 세상에 단 하나뿐인 시고르자브종. 호기심도 많고 실물이 더 이뻐요!(공고중 입양가능),창원유기동물보호소,055-225-5481,2021-05-25,2021-06-03
37,경남,경남-창원1-2021-00255,"[""미니어쳐 슈나우저"",""스탠다드 슈나우저""]",검갈색,암컷,2021,1.7,의창구대산면모산길37부근,K-5-1-24-3 세상에 단 하나뿐인 시고르자브종. 호기심도 많고 실물이 더 이뻐요!(공고중 입양가능),창원유기동물보호소,055-225-5481,2021-05-25,2021-06-03
38,경남,경남-창원1-2021-00254,"[""진돗개""]",흰색,수컷,2021,2.4,의창구대산면모산길37부근,K-5-1-24-2 세상에 단 하나뿐인 시고르자브종. 호기심도 많고 실물이 더 이뻐요!(공고중 입양가능),창원유기동물보호소,055-225-5481,2021-05-25,2021-06-03
39,경남,경남-창원1-2021-00253,"[""보더 콜리"",""미니어쳐 슈나우저"",""진돗개""]",흰검색,수컷,2021,2.4,의창구대산면모산길37부근,K-5-1-24-1 세상에 단 하나뿐인 시고르자브종. 호기심도 많고 실물이 더 이뻐요!(공고중 입양가능),창원유기동물보호소,055-225-5481,2021-05-25,2021-06-04
40,경남,경남-창원1-2021-00252,"[""알래스카 말라뮤트"",""버니즈 마운틴 독""]",흰검색,수컷,2019,40.0,의창구동읍자여로104부근,K-5-1-23 검정색+흰색. 빨간색목줄+체인리드줄착용. 순함,창원유기동물보호소,055-225-5481,2021-05-24,2021-06-03
41,경남,경남-창원1-2021-00251,"[""말티즈"",""비숑 프리제""]",흰색,암컷,2017,3.0,의창구도계동서부경찰서맞은편카페,K-5-1-(5)  흰색. 목줄착용. ,창원유기동물보호소,055-225-5481,2021-05-24,2021-06-03
42,경남,경남-창원1-2021-00250,"[""시츄""]",흰갈색,수컷,2018,5.0,의창구명서동명서다리근처,K-5-1-(4) 흰색+갈색. 머리에 손만 닿으면 자동 발라당~애교쟁이,창원유기동물보호소,055-225-5481,2021-05-22,2021-06-01
43,경남,경남-창원1-2021-00249,"[""시베리안 라이카""]",흰회색,암컷,2021,12.0,의창구북면마산리207,K-5-1-(3)  회색+흰색. 까만코. 파란색 목줄착용.,창원유기동물보호소,055-225-5481,2021-05-20,2021-05-27
44,경남,경남-창원1-2021-00248,"[""퍼그"",""샤페이""]",흰색,수컷,2012,8.2,의창구북면월촌리563-2번지도로변,K-5-1-22  흰색. 백내장. 피부병 심함. ,창원유기동물보호소,055-225-5481,2021-05-20,2021-05-31
45,경남,경남-창원1-2021-00247,"[""치와와""]",검갈색,암컷,2021,1.0,성산구중앙동여우비어린이공원내,K-5-1-21-4 보는 사람마다 심장폭행하는 폭행범들..1개월인데 벌써 꼬리콥터 장착.(공고중 입양 가능),창원유기동물보호소,055-225-5481,2021-05-20,2021-05-29
46,경남,경남-창원1-2021-00246,"[""치와와"",""재패니즈 스피츠""]",검갈색,수컷,2021,1.0,성산구중앙동여우비어린이공원내,K-5-1-21-3 보는 사람마다 심장폭행하는 폭행범들..1개월인데 벌써 꼬리콥터 장착.(공고중 입양 가능),창원유기동물보호소,055-225-5481,2021-05-20,2021-05-29
47,경남,경남-창원1-2021-00245,"[""재패니즈 스피츠"",""페키니즈""]",검갈색,암컷,2021,0.9,성산구중앙동여우비어린이공원내,K-5-1-21-2 보는 사람마다 심장폭행하는 폭행범들..1개월인데 벌써 꼬리콥터 장착.(공고중 입양 가능),창원유기동물보호소,055-225-5481,2021-05-20,2021-05-29
48,경남,경남-창원1-2021-00244,"[""치와와""]",검갈색,수컷,2021,1.0,성산구중앙동여우비어린이공원내,K-5-1-21-1 보는 사람마다 심장폭행하는 폭행범들..1개월인데 벌써 꼬리콥터 장착.(공고중 입양 가능),창원유기동물보호소,055-225-5481,2021-05-20,2021-05-29
49,경남,경남-창원1-2021-00243,"[""포메라니안"",""치와와""]",갈색,수컷,2018,3.2,성산구중앙동48-16번지부근,K-5-1-20  갈색. 장모종. 발견자가 목욕시킴.,창원유기동물보호소,055-225-5481,2021-05-20,2021-05-31
50,경남,경남-창원1-2021-00242,"[""잭 러셀 테리어"",""미니어쳐 슈나우져"",""자이언트 슈나우져""]",흰갈색,암컷,2021,3.0,의창구대산면주남로416번길11부근,K-5-1-19  갈색+흰색+검정색. 검정색+형광색목줄착용.눈이 너무 이쁜아이. 주인님 빨리 오세요~,창원유기동물보호소,055-225-5481,2021-05-18,2021-05-27
51,전북,전북-익산-2021-00655,"[""말티즈"",""꼬똥드툴레아"",""비숑 프리제""]",흰색,암컷,2019,3.5,익산시춘포면춘포로303,털이길고 몽처있으며있으며 순함,익산유기동물보호소,010-3659-2380,2021-05-25,2021-06-04
52,전북,전북-익산-2021-00654,"[""말티즈"",""꼬똥드툴레아""]",흰색,암컷,2021,2.5,익산시익산대로54길,작고순하며 이쁘게생겼음,익산유기동물보호소,010-3659-2380,2021-05-25,2021-06-04
53,대구,대구-달서-2021-00160,"[""보더 콜리""]",흰검색,수컷,2013,24.0,경원고등내,.,대구유기동물보호센터,053-964-6258,2021-05-25,2021-06-04
54,대구,대구-달서-2021-00158,"[""말티즈"",""꼬똥드툴레아"",""비숑 프리제""]",흰색,수컷,2016,5.0,두류정수장부근,"내장칩 등록견,견주 연락 안됨",대구유기동물보호센터,053-964-6258,2021-05-24,2021-06-03
55,대구,대구-달서-2021-00157,"[""올드잉글리쉬불독""]",흰회색,수컷,2016,15.0,내당교회,미용,대구유기동물보호센터,053-964-6258,2021-05-24,2021-06-03
56,대구,대구-달서-2021-00156,"[""진돗개"",""시바견""]",갈색,암컷,2021,10.0,선원로57길26,.,대구유기동물보호센터,053-964-6258,2021-05-24,2021-06-03
57,대구,대구-달서-2021-00152,"[""말티즈"",""꼬똥드툴레아""]",흰색,수컷,2018,4.0,감삼우방드림시티,미용,대구유기동물보호센터,053-964-6258,2021-05-21,2021-05-31
